SOLVER_HANDLE,PROBLEM_ID,TITLE_NM,TAGS_NM,SOLVED_LVL,HASH_ID
siasia212,2206,벽 부수고 이동하기,graph traversal bfs grid_graph,13,2206
siasia212,2231,분해합,bruteforce,4,2231
siasia212,2292,벌집,math,4,2292
siasia212,2303,숫자 게임,impl bruteforce,6,2303
siasia212,2338,긴자리 계산,math arithmetic arbitrary_precision_/_big_integers,1,2338
siasia212,2346,풍선 터뜨리기,ds deque,8,2346
siasia212,2352,반도체 설계,binary_search lis,14,2352
siasia212,2393,Rook,impl,1,2393
siasia212,2407,조합,math combinatorics arbitrary_precision_/_big_integers,8,2407
siasia212,2420,사파리월드,impl arithmetic math,1,2420
siasia212,2438,별 찍기 - 1,impl,1,2438
siasia212,2439,별 찍기 - 2,impl,2,2439
siasia212,2440,별 찍기 - 3,impl,2,2440
siasia212,2441,별 찍기 - 4,impl,3,2441
siasia212,2442,별 찍기 - 5,impl,3,2442
siasia212,2443,별 찍기 - 6,impl,3,2443
siasia212,2444,별 찍기 - 7,impl,3,2444
siasia212,2445,별 찍기 - 8,impl,3,2445
siasia212,2446,별 찍기 - 9,impl,3,2446
siasia212,2447,별 찍기 - 10,d&c recursion,11,2447
siasia212,2448,별 찍기 - 11,recursion,12,2448
siasia212,2455,지능형 기차,math impl arithmetic,3,2455
siasia212,2460,지능형 기차 2,math impl arithmetic,3,2460
siasia212,2467,용액,binary_search two-pointer,11,2467
siasia212,2470,두 용액,sorting binary_search two-pointer,11,2470
siasia212,2475,검증수,impl arithmetic math,1,2475
siasia212,2476,주사위 게임,math impl arithmetic,3,2476
siasia212,2480,주사위 세개,math impl arithmetic case_work,2,2480
siasia212,2484,주사위 네개,math impl case_work,4,2484
siasia212,2485,가로수,math number_theory euclidean_algorithm,7,2485
siasia212,2490,윷놀이,impl,3,2490
siasia212,2501,약수 구하기,math bruteforce,3,2501
siasia212,2504,괄호의 값,impl ds stack,11,2504
siasia212,2506,점수계산,math impl arithmetic,3,2506
siasia212,2520,팬케이크 사랑,math impl arithmetic,4,2520
siasia212,2522,별 찍기 - 12,impl,3,2522
siasia212,2523,별 찍기 - 13,impl,3,2523
siasia212,2525,오븐 시계,arithmetic math,3,2525
siasia212,2530,인공지능 시계,math arithmetic,2,2530
siasia212,2547,사탕 선생 고창영,math arithmetic arbitrary_precision_/_big_integers,3,2547
siasia212,2556,별 찍기 - 14,impl,0,2556
siasia212,2557,Hello World,impl,1,2557
siasia212,2558,A+B - 2,impl arithmetic math,1,2558
siasia212,2559,수열,prefix_sum two-pointer sliding_window,8,2559
siasia212,2562,최댓값,impl,3,2562
siasia212,2563,색종이,impl,6,2563
siasia212,2565,전깃줄,dp,11,2565
siasia212,2566,최댓값,impl,3,2566
siasia212,2568,전깃줄 - 2,traceback lis,16,2568
siasia212,2576,홀수,math impl,3,2576
siasia212,2577,숫자의 개수,math impl arithmetic,4,2577
siasia212,2579,계단 오르기,dp,8,2579
siasia212,2581,소수,primality_test number_theory math,4,2581
siasia212,2587,대표값2,math impl sorting arithmetic,4,2587
siasia212,2588,곱셈,arithmetic math,3,2588
siasia212,2605,줄 세우기,impl ds,4,2605
siasia212,2606,바이러스,graph traversal bfs dfs,8,2606
siasia212,2609,최대공약수와 최소공배수,math number_theory euclidean_algorithm,5,2609
siasia212,2630,색종이 만들기,d&c recursion,9,2630
siasia212,2667,단지번호붙이기,graph traversal bfs dfs grid_graph ff,10,2667
siasia212,2675,문자열 반복,impl string,4,2675
siasia212,2676,라스칼 삼각형,math,9,2676
siasia212,2712,미국 스타일,math impl arithmetic,3,2712
siasia212,2720,세탁소 사장 동혁,math greedy arithmetic,3,2720
siasia212,2721,삼각수의 합,math impl,3,2721
siasia212,2729,이진수 덧셈,math impl arithmetic,5,2729
siasia212,2738,행렬 덧셈,math impl arithmetic,3,2738
siasia212,2739,구구단,impl math,1,2739
siasia212,2740,행렬 곱셈,math impl linear_algebra,6,2740
siasia212,2741,N 찍기,impl,1,2741
siasia212,2742,기찍 N,impl,1,2742
siasia212,2743,단어 길이 재기,impl string,1,2743
siasia212,2744,대소문자 바꾸기,impl string,1,2744
siasia212,2745,진법 변환,impl string math,4,2745
siasia212,2747,피보나치 수,math impl dp,4,2747
siasia212,2748,피보나치 수 2,math dp,5,2748
siasia212,2749,피보나치 수 3,math exponentiation_by_squaring pisano,14,2749
siasia212,2750,수 정렬하기,sorting impl,4,2750
siasia212,2751,수 정렬하기 2,sorting,6,2751
siasia212,2752,세수정렬,impl sorting,2,2752
siasia212,2753,윤년,impl arithmetic math,1,2753
siasia212,2754,학점계산,impl string,3,2754
siasia212,2765,자전거 속도,math arithmetic,3,2765
siasia212,2775,부녀회장이 될테야,math impl dp,5,2775
siasia212,2783,삼각 김밥,math impl arithmetic,3,2783
siasia212,2798,블랙잭,bruteforce,4,2798
siasia212,2805,나무 자르기,binary_search parametric_search,9,2805
siasia212,2839,설탕 배달,dp greedy math,7,2839
siasia212,2845,파티가 끝나고 난 뒤,impl arithmetic math,2,2845
siasia212,2857,FBI,string impl,3,2857
siasia212,2858,기숙사 바닥,math bruteforce arithmetic,4,2858
siasia212,2863,이게 분수?,math impl arithmetic,3,2863
siasia212,2869,달팽이는 올라가고 싶다,math,5,2869
siasia212,2875,대회 or 인턴,math impl arithmetic,3,2875
siasia212,2877,4와 7,math impl,11,2877
siasia212,2884,알람 시계,math arithmetic,3,2884
siasia212,2897,몬스터 트럭,impl bruteforce,5,2897
siasia212,2903,중앙 이동 알고리즘,math,3,2903
siasia212,2908,상수,math impl,4,2908
siasia212,2914,저작권,impl arithmetic math,3,2914
siasia212,2920,음계,impl,4,2920
siasia212,2921,도미노,math,3,2921
siasia212,2935,소음,math string arithmetic,3,2935
siasia212,2941,크로아티아 알파벳,impl string,6,2941
siasia212,2953,나는 요리사다,math impl arithmetic,3,2953
siasia212,2959,거북이,math arithmetic,3,2959
siasia212,2965,캥거루 세마리,math,3,2965
siasia212,2985,세 수,math impl arithmetic case_work,3,2985
siasia212,2991,사나운 개,math arithmetic,3,2991
siasia212,2997,네 번째 수,math impl arithmetic,3,2997
siasia212,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰",impl arithmetic math,1,3003
siasia212,3004,체스판 조각,math impl,3,3004
siasia212,3009,네 번째 점,impl geom,3,3009
siasia212,3029,경고,math impl string arithmetic,3,3029
siasia212,3034,앵그리 창영,math geom pythagoras_thm,3,3034
siasia212,3046,R2,impl arithmetic math,2,3046
siasia212,3047,ABC,impl,3,3047
siasia212,3052,나머지,math set arithmetic,4,3052
siasia212,3053,택시 기하학,math geom,3,3053
siasia212,3058,짝수를 찾아라,math impl arithmetic,3,3058
siasia212,3059,등장하지 않는 문자의 합,impl string,3,3059
siasia212,3066,브리징 시그널,binary_search lis,14,3066
siasia212,3449,해밍 거리,string,3,3449
siasia212,3460,이진수,math impl,3,3460
siasia212,3649,로봇 프로젝트,sorting binary_search two-pointer,11,3649
siasia212,3733,Shares,math arithmetic,1,3733
siasia212,3745,오름세,binary_search lis,14,3745
siasia212,3765,Celebrity jeopardy,impl string ad-hoc,2,3765
siasia212,3933,라그랑주의 네 제곱수 정리,dp bruteforce,11,3933
siasia212,4101,크냐?,impl,1,4101
siasia212,4108,지뢰찾기,impl,6,4108
siasia212,4134,다음 소수,math bruteforce number_theory primality_test,7,4134
siasia212,4153,직각삼각형,math geom pythagoras_thm,3,4153
siasia212,4158,CD,ds binary_search set hashset two-pointer,6,4158
siasia212,4179,불!,graph traversal bfs grid_graph,13,4179
siasia212,4299,AFC 윔블던,math arithmetic,2,4299
siasia212,4320,완전 P제곱수,math,11,4320
siasia212,4355,서로소,math number_theory euler_phi_function,15,4355
siasia212,4388,받아올림,math impl arithmetic,4,4388
siasia212,4435,중간계 전쟁,math impl arithmetic,3,4435
siasia212,4458,첫 글자를 대문자로,impl string,3,4458
siasia212,4470,줄번호,impl string,2,4470
siasia212,4493,가위 바위 보?,impl,3,4493
siasia212,4504,배수 찾기,math arithmetic,3,4504
siasia212,4562,No Brainer,impl,2,4562
siasia212,4589,Gnome Sequencing,impl,2,4589
siasia212,4619,루트,math bruteforce,3,4619
siasia212,4696,St. Ives,math arithmetic,2,4696
siasia212,4714,Lunacy,math impl arithmetic,2,4714
siasia212,4740,"거울, 오! 거울",impl string,3,4740
siasia212,4766,일반 화학 실험,math arithmetic,3,4766
siasia212,4779,칸토어 집합,d&c recursion,8,4779
siasia212,4806,줄 세기,impl,3,4806
siasia212,4880,다음수,math arithmetic,3,4880
siasia212,4892,숫자 맞추기 게임,math impl arithmetic,3,4892
siasia212,4948,베르트랑 공준,math number_theory primality_test eratosthenes,9,4948
siasia212,4949,균형잡힌 세상,ds string stack,7,4949
siasia212,4999,아!,impl string,1,4999
siasia212,5046,전국 대학생 프로그래밍 대회 동아리 연합,impl,5,5046
siasia212,5063,TGN,math arithmetic,3,5063
siasia212,5073,삼각형과 세 변,math impl geom,3,5073
siasia212,5086,배수와 약수,math arithmetic,3,5086
siasia212,5217,쌍의 합,impl,3,5217
siasia212,5300,Fill the Rowboats!,impl,2,5300
siasia212,5337,웰컴,impl,1,5337
siasia212,5338,마이크로소프트 로고,impl,1,5338
siasia212,5339,콜센터,impl,1,5339
siasia212,5341,Pyramids,math impl arithmetic,1,5341
siasia212,5354,J박스,impl,3,5354
siasia212,5357,Dedupe,impl string,2,5357
siasia212,5358,Football Team,impl string,2,5358
siasia212,5361,전투 드로이드 가격,math arithmetic,3,5361
siasia212,5363,요다,impl string,4,5363
siasia212,5397,키로거,ds stack ll,9,5397
siasia212,5427,불,graph traversal bfs grid_graph,12,5427
siasia212,5430,AC,deque parsing impl string ds,11,5430
siasia212,5522,카드 게임,math arithmetic,1,5522
siasia212,5523,경기 결과,impl,3,5523
siasia212,5524,입실 관리,string,2,5524
siasia212,5532,방학 숙제,math arithmetic,2,5532
siasia212,5543,상근날드,math arithmetic,2,5543
siasia212,5554,심부름 가는 길,impl arithmetic math,2,5554
siasia212,5565,영수증,math impl arithmetic,2,5565
siasia212,5575,타임 카드,math impl arithmetic,2,5575
siasia212,5596,시험 점수,math impl arithmetic,2,5596
